stream_id,stream_name,run_id,step,percent,processed,f0_exact,n_t_estimate,relative_error
0,small_50pct,4,5,30.0,3000,2430,2419.12,-0.004478
0,small_50pct,4,6,35.0,3500,2729,2715.03,-0.005120
0,small_50pct,4,7,40.0,4000,2996,2977.96,-0.006022
0,small_50pct,4,8,45.0,4500,3257,3236.65,-0.006249
0,small_50pct,4,9,50.0,5000,3492,3461.15,-0.008835
0,small_50pct,4,10,55.0,5500,3697,3659.98,-0.010012
0,small_50pct,4,11,60.0,6000,3890,3844.82,-0.011615
0,small_50pct,4,12,65.0,6500,4072,4020.25,-0.012708
0,small_50pct,4,13,70.0,7000,4245,4182.09,-0.014820
0,small_50pct,4,14,75.0,7500,4385,4335.12,-0.011376
0,small_50pct,4,15,80.0,8000,4531,4484.33,-0.010301
0,small_50pct,4,16,85.0,8500,4668,4618.99,-0.010499
0,small_50pct,4,17,90.0,9000,4794,4744.08,-0.010413
0,small_50pct,4,18,95.0,9500,4897,4852.64,-0.009059
0,small_50pct,4,19,100.0,10000,5000,4964.63,-0.007073
0,small_50pct,5,0,5.0,500,481,478.93,-0.004299
0,small_50pct,5,1,10.0,1000,928,926.72,-0.001378
0,small_50pct,5,2,15.0,1500,1345,1344.70,-0.000220
0,small_50pct,5,3,20.0,2000,1720,1715.79,-0.002450
0,small_50pct,5,4,25.0,2500,2091,2082.97,-0.003840
0,small_50pct,5,5,30.0,3000,2403,2400.58,-0.001006
0,small_50pct,5,6,35.0,3500,2682,2684.37,0.000884
0,small_50pct,5,7,40.0,4000,2963,2951.60,-0.003849
0,small_50pct,5,8,45.0,4500,3222,3213.51,-0.002634
0,small_50pct,5,9,50.0,5000,3456,3445.10,-0.003155
0,small_50pct,5,10,55.0,5500,3677,3671.24,-0.001566
0,small_50pct,5,11,60.0,6000,3882,3876.46,-0.001427
0,small_50pct,5,12,65.0,6500,4060,4048.40,-0.002858
0,small_50pct,5,13,70.0,7000,4226,4214.39,-0.002747
0,small_50pct,5,14,75.0,7500,4390,4383.40,-0.001504
0,small_50pct,5,15,80.0,8000,4522,4513.28,-0.001929
0,small_50pct,5,16,85.0,8500,4658,4645.52,-0.002678
0,small_50pct,5,17,90.0,9000,4777,4772.16,-0.001014
0,small_50pct,5,18,95.0,9500,4889,4876.86,-0.002483
0,small_50pct,5,19,100.0,10000,5000,4984.95,-0.003009
0,small_50pct,6,0,5.0,500,481,475.84,-0.010720
0,small_50pct,6,1,10.0,1000,919,919.32,0.000344
0,small_50pct,6,2,15.0,1500,1339,1334.94,-0.003035
0,small_50pct,6,3,20.0,2000,1725,1721.34,-0.002123
0,small_50pct,6,4,25.0,2500,2074,2069.35,-0.002242
0,small_50pct,6,5,30.0,3000,2406,2394.79,-0.004657
0,small_50pct,6,6,35.0,3500,2705,2700.87,-0.001526
0,small_50pct,6,7,40.0,4000,2976,2977.96,0.000658
0,small_50pct,6,8,45.0,4500,3236,3235.43,-0.000177
0,small_50pct,6,9,50.0,5000,3471,3477.21,0.001790
0,small_50pct,6,10,55.0,5500,3710,3720.11,0.002725
0,small_50pct,6,11,60.0,6000,3907,3933.57,0.006801
0,small_50pct,6,12,65.0,6500,4088,4115.11,0.006631
0,small_50pct,6,13,70.0,7000,4270,4305.18,0.008238
0,small_50pct,6,14,75.0,7500,4425,4471.18,0.010437
0,small_50pct,6,15,80.0,8000,4567,4632.25,0.014287
0,small_50pct,6,16,85.0,8500,4700,4758.78,0.012506
0,small_50pct,6,17,90.0,9000,4807,4866.09,0.012293
0,small_50pct,6,18,95.0,9500,4920,4983.60,0.012927
0,small_50pct,6,19,100.0,10000,5000,5054.24,0.010848
0,small_50pct,7,0,5.0,500,477,476.87,-0.000266
0,small_50pct,7,1,10.0,1000,925,928.84,0.004149
0,small_50pct,7,2,15.0,1500,1339,1347.96,0.006692
0,small_50pct,7,3,20.0,2000,1733,1750.24,0.009951
0,small_50pct,7,4,25.0,2500,2080,2086.38,0.003067
0,small_50pct,7,5,30.0,3000,2419,2422.60,0.001487
0,small_50pct,7,6,35.0,3500,2700,2715.03,0.005566
0,small_50pct,7,7,40.0,4000,2993,3000.76,0.002593
0,small_50pct,7,8,45.0,4500,3231,3252.49,0.006652
0,small_50pct,7,9,50.0,5000,3463,3489.58,0.007676
0,small_50pct,7,10,55.0,5500,3700,3723.87,0.006453
0,small_50pct,7,11,60.0,6000,3887,3903.09,0.004139
0,small_50pct,7,12,65.0,6500,4076,4098.40,0.005497
0,small_50pct,7,13,70.0,7000,4254,4284.38,0.007142
